t,x,y,z
52.4,-6.86695,-3.46354,5.4852
52.5,-6.57182,-3.74483,5.43723
52.6,-6.26509,-4.03731,5.38293
52.7,-5.94693,-4.34091,5.32233
52.8,-5.61753,-4.65549,5.25547
52.9,-5.27714,-4.98091,5.18239
53,-4.92601,-5.31699,5.10317
53.1,-4.56446,-5.66348,5.0179
53.2,-4.19282,-6.02011,4.92667
53.3,-3.81148,-6.38658,4.82962
53.4,-3.42085,-6.76254,4.72688
53.5,-3.0214,-7.14758,4.61862
53.6,-2.61362,-7.54126,4.50502
53.7,-2.19806,-7.9431,4.38628
53.8,-1.77531,-8.35256,4.26263
53.9,-1.34598,-8.76905,4.13432
54,-0.910754,-9.19196,4.0016
54.1,-0.470355,-9.6206,3.86476
54.2,-0.0255483,-10.0542,3.72413
54.3,0.422852,-10.4921,3.58004
54.4,0.87398,-10.9333,3.43284
54.5,1.32692,-11.377,3.28292
54.6,1.78072,-11.8222,3.1307
54.7,2.23434,-12.2679,2.9766
54.8,2.68673,-12.7132,2.82109
54.9,3.13676,-13.1567,2.66465
55,3.58324,-13.5974,2.50781
55.1,4.02495,-14.034,2.3511
55.2,4.46059,-14.4652,2.19509
55.3,4.88881,-14.8897,2.04038
55.4,5.3082,-15.3059,1.88761
55.5,5.7173,-15.7125,1.73742
55.6,6.11459,-16.1078,1.5905
55.7,6.49857,-16.4903,1.44753
55.8,6.86771,-16.8585,1.3092
55.9,7.22053,-17.2107,1.17619
56,7.55564,-17.5456,1.04914
56.1,7.8717,-17.8618,0.928686
56.2,8.1675,-18.158,0.815394
56.3,8.44198,-18.4331,0.709783
56.4,8.69422,-18.6861,0.612305
56.5,8.92351,-18.9163,0.523334
56.6,9.12935,-19.1231,0.443153
56.7,9.3115,-19.3063,0.371947
56.8,9.46997,-19.4657,0.309788
56.9,9.60507,-19.6017,0.256626
57,9.71744,-19.7149,0.212278
57.1,9.80804,-19.8063,0.176417
57.2,9.87824,-19.8771,0.148558
57.3,9.92978,-19.9291,0.128051
57.4,9.96484,-19.9645,0.11407
57.5,9.98604,-19.9859,0.105596
57.6,9.99648,-19.9964,0.101413
57.7,9.99977,-19.9998,0.100094
