t,x,y,z
56.8,9.75943,-19.7591,0.192751
56.9,9.8377,-19.8375,0.162622
57,9.89624,-19.8961,0.14006
57.1,9.93809,-19.938,0.123919
57.2,9.96628,-19.9662,0.113036
57.3,9.98382,-19.9838,0.106258
57.4,9.99357,-19.9936,0.102489
57.5,9.99812,-19.9981,0.100727
57.6,9.9997,-19.9997,0.100116
57.7,9.99999,-20,0.100003
